a	aː
aa	a a
aalborg	a a l p ɔ r k
aarhgghhh	a aː r h k h
aaron	a aː r ɔ n
aba	aː p a
abakistar	aː p a c ɪ s t a r
abba	a p a
abbadís	a p a t iː s
abel	a p ɛ l
abeline	a p ɛ l ɪ n ɛ
abelisaurus	a p ɛ l ɪ s œyː r ʏ s
abels	a p ɛ l s
abelseðlu	a p ɛ l s ɛ ð l ʏ
aberdeen	a p ɛ r t ei ɛː n
abigail	aː p ɪː ɣ a ɪː l
abo	a p ɔː
above	aː p ɔ v ɛː
abraham	aː p r a h aː m
abrahams	aː p r a h aː m s
absalons	aː p s a l ɔ n s
abseronskaga	aː p s ɛ r ɔ n s k aː ɣ a
absorption	aː p s ɔ r̥ t ɪ ɔ n
absúrd	aː p s u r t
absúrdisma	aː p s u r̥ t ɪ s m a
abu	a p ʏ
abú	aː p u
ada	aː t a
adam	aː t a m
adams	aː t a m s
addams	a t a m s
addý	a t i
adeimantos	a t eiː m a n̥ t ɔ s
adel	aː t ɛ l
adeliemörgæsin	aː t ɛː l ɪ ɛ m œ r c ai s ɪ n
adeliemörgæsir	aː t ɛː l ɪ ɛ m œ r c ai s ɪ r
adenín	aː t ɛ n i n
adenógenaferjur	aː t ɛ n ou ɣ ɛ n a f ɛ r j ʏ r
adenóveirur	aː t ɛ n ouː v eiː r ʏ r
admit	aː t m ɪ t
adolf	aː t ɔ l v
adolfi	aː t ɔ l v ɪ
adorno	aː t ɔ t n ɔ
adrenalín	aː t r ɛː n a l i n
adrenalíns	aː t r ɛː n a l i n s
adríana	aː t r iː j a n a
adríel	aː t r i j ɛ l
advisor	aː t v ɪ s ɔ r
adygea	aː t ɪ ɣ ɛ a
aedes	a ɛː t ɛ s
aegypti	a ɛː c ɪ f t ɪ
af	aː v
afa	aː v a
afaland	aː v a l a n t
afans	aː v a n s
afar	aː v a r
afarkosti	aː v a r k ɔ s t ɪ
afarmenni	aː v a r m ɛ n ɪ
afastykki	aː v a s t ɪ h c ɪ
afbakast	a v p a k a s t
afborgana	a v p ɔ r k a n a
afborganir	a v p ɔ r k a n ɪ r
afborganirnar	a v p ɔ r k a n ɪ t n a r
afborið	a v p ɔ r ɪ ð
afboða	a v p ɔ ð a
afboðaðir	a v p ɔ ð a ð ɪ r
afbragð	a v p r a ɣ ð
afbragðs	a v p r a ɣ ð s
afbragðsdrengur	a v p r a ɣ ð s t r ei ŋ k ʏ r
afbragðshóll	a v p r a ɣ ð s h ou t l̥
afbragðsnámsmaður	a v p r a ɣ ð s t n au m s m a ð ʏ r
afbrigða	a v p r ɪ ɣ ð a
afbrigðanna	a v p r ɪ ɣ ð a n a
afbrigði	a v p r ɪ ɣ ð ɪ
afbrigðilegan	a v p r ɪ ɣ ð ɪ l ɛ ɣ a n
afbrigðilegar	a v p r ɪ ɣ ð ɪ l ɛ ɣ a r
afbrigðilegir	a v p r ɪ ɣ ð ɪ l ei j ɪ r
afbrigðilegt	a v p r ɪ ɣ ð ɪ l ɛ x t
afbrigðin	a v p r ɪ ɣ ð ɪ n
afbrigðið	a v p r ɪ ɣ ð ɪ ð
afbrigðum	a v p r ɪ ɣ ð ʏ m
afbrot	a v p r ɔ t
afbrotafræðinga	a v p r ɔ t a f r aiː ð i ŋ k a
afbrotafræðingur	a v p r ɔ t a f r ai ð i ŋ k ʏ r
afbrotafræðinni	a v p r ɔ t a f r aiː ð ɪ n ɪ
afbrotamenn	a v p r ɔ t a m ɛ n
afbrotamálum	a v p r ɔ t a m au l ʏ m
afbrotin	a v p r ɔ t ɪ n
afbrotum	a v p r ɔː t ʏ m
afbrýðisamur	a v p r i ð ɪ s aː m ʏ r
afbrýðisemi	a v p r i ð ɪ s ɛː m ɪ
afbrýðissama	a v p r i ð ɪ s a m a
afbrýðissemi	a v p r i ð ɪ s ɛː m ɪ
afbrýðissöm	a v p r i ð ɪ s œː m
afbrýðissömum	a v p r i ð ɪ s œː m ʏ m
afbrýðisöm	a v p r i ð ɪ s œː m
afburða	a v p ʏ r ð a
afburðamannapróf	a v p ʏ r ð a m a n a p r ouː v
afburðamenn	a v p ʏ r ð a m ɛ n
afburðanemendur	a v p ʏ r ð a n ɛː m ɛ n t ʏ r
afburðanámsmaður	a v p ʏ r ð a n au m s m a ð ʏ r
afburðavel	a v p ʏ r ð a v ɛː l
afburði	a v p ʏ r ð ɪ
afbökun	a v p œ k ʏ n
afbökuðum	a v p œ k ʏ ð ʏ m
afbökuðustu	a v p œ k ʏ ð ʏ s t ʏ
afdali	a v t aː l ɪ
afdalsklettar	a v t a l s k l ɛ h t a r
